# Yale Bright Star Catalogue (BSC5, 5th Revised Ed.), Hoffleit & Warren 1991.
# http://tdc-www.harvard.edu/catalogs/bsc5.html — public domain.
# Every star north of Dec +25 down to V 6.0: the naked-eye circumpolar sky.
# Positions are J2000. Nothing here is drawn by hand.
# ra_deg	dec_deg	vmag	bayer
145.8887	29.9744	5.64	
222.5850	82.5119	5.64	
224.9037	39.2653	5.64	
243.6700	33.8586	5.64	Sig CrB
277.4371	77.5469	5.64	
301.1504	32.2186	5.64	
317.9508	59.9864	5.64	
17.5783	42.0814	5.65	
114.1317	46.1803	5.65	
247.9471	45.5983	5.65	
259.7021	28.8231	5.65	
261.4221	60.0483	5.65	
325.8571	38.2839	5.65	
337.5075	32.5725	5.65	
11.4125	74.9881	5.66	
56.4971	45.6819	5.66	
57.5188	44.9678	5.66	
72.7887	48.7408	5.66	
129.5925	53.4014	5.66	
133.1442	32.4742	5.66	Sig1 Cnc
182.9633	25.8703	5.66	
184.0317	40.6603	5.66	
230.0217	51.9586	5.66	
284.1875	57.8150	5.66	
303.8487	33.7294	5.66	
319.8158	58.6236	5.66	
1.1750	67.1667	5.67	
11.1100	47.8642	5.67	
29.0388	37.2517	5.67	
32.1688	58.4236	5.67	
70.3504	48.3008	5.67	
162.7962	56.5822	5.67	
227.0992	26.3011	5.67	
245.9458	61.6967	5.67	
260.4392	53.4206	5.67	
269.9842	45.5014	5.67	
310.4854	41.7169	5.67	
313.9575	47.4178	5.67	
77.6788	46.9622	5.68	
105.3396	70.8081	5.68	
270.0383	80.0042	5.68	
309.7479	30.3344	5.68	
320.2088	32.4528	5.68	
321.1417	26.1744	5.68	
338.0675	76.2264	5.68	
29.6400	49.2042	5.69	
99.6646	39.3908	5.69	
145.5617	69.2375	5.69	
222.4221	48.7206	5.69	
285.3225	26.2914	5.69	
297.6554	40.5997	5.69	
305.2975	63.9803	5.69	
306.7596	49.3833	5.69	
320.5017	49.3889	5.69	
325.5954	41.0772	5.69	
23.3575	58.3275	5.70	
64.2233	61.8503	5.70	
177.4238	34.9317	5.70	
184.3771	28.9372	5.70	
186.8963	55.7128	5.70	
206.6488	54.4328	5.70	
208.4625	53.7286	5.70	
219.5521	43.6419	5.70	
280.9650	31.9267	5.70	
331.3946	28.9639	5.70	
346.9392	49.2958	5.70	
347.4338	59.3331	5.70	
38.9117	37.3122	5.71	
64.2842	57.8606	5.71	
73.1992	42.5867	5.71	
102.4221	32.6067	5.71	
108.9879	27.8975	5.71	
124.8221	62.5072	5.71	
183.7854	70.2000	5.71	
271.4567	32.2306	5.71	
300.9058	29.8967	5.71	
328.0042	55.7969	5.71	
333.6850	42.9539	5.71	
338.4192	56.6250	5.71	
3.3783	41.0353	5.72	
47.4029	29.0769	5.72	
62.7458	33.5867	5.72	
112.2150	48.1839	5.72	
143.7233	72.2056	5.72	
163.7425	34.0347	5.72	
252.6625	29.8067	5.72	
259.9042	80.1364	5.72	
304.9029	62.2575	5.72	
66.1217	34.1306	5.73	
84.1467	54.4289	5.73	
90.2442	47.9019	5.73	
100.1200	77.9958	5.73	
103.8275	25.3756	5.73	
115.0608	38.3444	5.73	
122.6133	25.5072	5.73	Psi Cnc
133.3442	61.9622	5.73	
149.9008	29.6453	5.73	
175.3929	31.7461	5.73	
220.9350	40.4592	5.73	
281.2008	37.5944	5.73	Zet2 Lyr
293.5825	51.2367	5.73	
317.5650	53.5633	5.73	
338.9679	39.6342	5.73	
4.2379	61.5333	5.74	
6.2767	53.0469	5.74	
79.5554	73.2681	5.74	
81.7846	30.2086	5.74	
134.2083	45.6319	5.74	
151.1513	53.8917	5.74	
167.3296	36.3094	5.74	
218.6650	49.3683	5.74	
222.3279	46.1161	5.74	
233.9879	54.6306	5.74	
246.1054	55.2050	5.74	
263.2804	41.2436	5.74	
279.3896	62.5267	5.74	
343.9354	36.3517	5.74	
0.5425	27.0819	5.75	
34.4996	57.8997	5.75	
74.0296	52.8694	5.75	
136.0017	54.2839	5.75	
139.6083	35.3642	5.75	
160.4512	68.4433	5.75	
171.4879	55.8506	5.75	
234.5675	46.7978	5.75	
238.8775	42.5661	5.75	
255.5779	25.5056	5.75	
265.9971	53.8017	5.75	
291.8579	52.3206	5.75	Iot1 Cyg
302.8954	62.0786	5.75	
310.6467	82.5311	5.75	
323.2358	49.9778	5.75	
334.5529	62.8044	5.75	
351.7808	42.9119	5.75	
55.6779	59.9694	5.76	
58.4112	48.6506	5.76	
66.1558	33.9597	5.76	
80.3029	29.5700	5.76	
111.1392	27.6381	5.76	
155.5437	41.2294	5.76	
218.1287	55.3978	5.76	
298.7013	36.9961	5.76	
304.6033	55.3972	5.76	
319.8700	49.5103	5.76	
341.5425	44.5461	5.76	
40.7617	55.1058	5.77	
57.9738	34.3592	5.77	
68.0075	53.9108	5.77	
110.3229	45.2281	5.77	
120.3363	59.0475	5.77	
157.5267	38.9253	5.77	
201.7363	78.6439	5.77	
283.6962	48.8597	5.77	
296.8658	38.4075	5.77	
312.8675	28.2506	5.77	
350.2221	38.1822	5.77	
25.8321	60.5511	5.78	
39.4004	65.7456	5.78	
41.9483	81.4483	5.78	
70.3325	28.6150	5.78	
93.0837	32.6933	5.78	
107.8462	26.8567	5.78	
109.5092	40.8833	5.78	
128.6825	36.4194	5.78	
192.3225	27.5522	5.78	
244.1867	29.1503	5.78	Ups CrB
308.4788	46.6939	5.78	
311.0917	56.4881	5.78	
330.4608	52.8822	5.78	
331.2975	26.6739	5.78	
5.1896	32.9114	5.79	
9.1137	60.3261	5.79	
17.1387	58.2636	5.79	
27.1733	32.6903	5.79	
28.0392	50.7928	5.79	
33.9417	25.7831	5.79	
48.0592	27.2569	5.79	
48.9500	57.1408	5.79	
99.5958	28.9842	5.79	
198.8833	40.8553	5.79	
201.5337	72.3914	5.79	
230.6600	63.3414	5.79	
232.7321	64.2086	5.79	
249.0467	46.6133	5.79	
262.7000	86.9681	5.79	
265.4917	72.1569	5.79	Psi1 Dra
303.3654	60.6406	5.79	
333.0929	63.2914	5.79	
337.2925	26.7631	5.79	
339.3042	75.3717	5.79	
349.9683	42.0781	5.79	
1.2758	61.3142	5.80	
17.5808	25.4578	5.80	
42.9946	68.8886	5.80	
56.5037	67.2017	5.80	
58.4304	57.9750	5.80	
111.2383	51.8872	5.80	
160.9304	57.1992	5.80	
174.0746	27.7811	5.80	
181.3129	76.9058	5.80	
222.4933	28.6158	5.80	
256.3321	54.4703	5.80	Mu Dra
322.0346	32.2253	5.80	
328.7217	56.6114	5.80	
354.3833	44.4292	5.80	
17.7929	37.7242	5.81	
22.8075	70.2647	5.81	
53.3962	39.8994	5.81	
74.5392	25.0503	5.81	
184.3729	53.1911	5.81	
186.2633	56.7775	5.81	
227.1479	25.1086	5.81	
238.0692	55.8267	5.81	
287.1075	52.4256	5.81	
314.1062	50.7286	5.81	
343.4171	44.7492	5.81	
343.5292	40.3769	5.81	
27.3154	47.8969	5.82	
29.4325	27.8044	5.82	
35.7096	41.3964	5.82	
52.6542	48.1036	5.82	
135.3504	32.2525	5.82	
154.5083	65.1083	5.82	
194.0733	54.0994	5.82	
199.6158	34.0981	5.82	
294.6717	54.9739	5.82	
316.6263	31.1847	5.82	
10.5142	66.1475	5.83	
38.2188	34.5425	5.83	
84.2867	26.9242	5.83	
120.2329	25.3928	5.83	Ome1 Cnc
149.5950	72.8794	5.83	
172.2692	61.7783	5.83	
240.8308	36.6317	5.83	
256.3325	54.4703	5.83	Mu Dra
276.4950	29.8289	5.83	
315.5379	56.6697	5.83	
319.8425	38.2375	5.83	
336.6771	78.7858	5.83	Rho1 Cep
16.0817	61.5803	5.84	
40.7488	53.5261	5.84	
154.1746	25.3714	5.84	
178.9933	56.5986	5.84	
193.7354	47.1967	5.84	
234.6429	50.4233	5.84	
290.9854	43.3881	5.84	
295.9375	41.7731	5.84	
304.5292	40.7322	5.84	
348.6554	74.2311	5.84	
353.7458	71.6422	5.84	
57.4029	63.2972	5.85	
99.4104	56.8575	5.85	
123.4592	56.4522	5.85	
142.6800	33.6556	5.85	
152.8033	37.4019	5.85	
159.7817	37.9100	5.85	
192.1642	60.3200	5.85	
192.2775	83.4181	5.85	
205.3746	64.8225	5.85	
219.5633	54.0233	5.85	
237.1433	28.1567	5.85	
261.6842	48.2600	5.85	
288.8533	30.5264	5.85	
301.5575	53.1658	5.85	
0.6504	66.0989	5.86	
42.1912	25.1881	5.86	
62.5063	86.6261	5.86	
72.3292	32.5883	5.86	
104.2333	46.7050	5.86	
236.9083	55.3767	5.86	
264.2867	72.4558	5.86	
271.9563	26.1014	5.86	
328.8796	65.3208	5.86	
4.6596	31.5172	5.87	
7.8567	33.5817	5.87	
12.0379	72.6750	5.87	
61.5129	68.6800	5.87	
70.8400	49.9739	5.87	
91.2642	42.9817	5.87	
98.1133	32.4547	5.87	
104.1346	46.2742	5.87	Psi9 Aur
206.5563	41.0886	5.87	
207.7883	34.6644	5.87	
234.3833	54.5089	5.87	
242.9483	42.3744	5.87	
251.8325	42.2389	5.87	
292.8408	26.6172	5.87	
316.5971	71.4319	5.87	
1.0567	62.2878	5.88	
23.5692	37.2372	5.88	
42.9237	46.8419	5.88	
65.4658	56.5067	5.88	
68.6583	28.9611	5.88	
97.6967	58.1628	5.88	
127.4425	67.2975	5.88	
169.1746	49.4764	5.88	
201.5692	46.0281	5.88	
272.9379	33.4469	5.88	
281.6796	52.9881	5.88	
307.3350	36.4547	5.88	
334.1104	57.2203	5.88	
338.1100	39.7797	5.88	
4.2879	47.9475	5.89	
28.9767	37.2778	5.89	
37.2021	29.9319	5.89	
44.9162	41.0331	5.89	
46.8292	64.0578	5.89	
89.8408	49.9244	5.89	
104.2521	33.6811	5.89	
125.1088	57.7433	5.89	
134.1271	40.2017	5.89	
145.3967	31.2781	5.89	
167.4104	43.2075	5.89	
191.8288	62.7808	5.89	
192.5446	37.5169	5.89	
284.5079	38.2661	5.89	
333.4108	28.6083	5.89	
5.1017	30.9358	5.90	
27.7379	51.9333	5.90	
39.2383	38.7328	5.90	
45.4754	26.4622	5.90	
48.3500	48.1769	5.90	
49.9825	27.0711	5.90	
53.1667	35.4617	5.90	
88.7458	31.7017	5.90	
97.5125	46.6856	5.90	
128.2292	38.0164	5.90	
155.7762	33.9081	5.90	
157.9642	32.3794	5.90	
208.2929	28.6481	5.90	
231.9642	60.6703	5.90	
271.9563	26.0975	5.90	
305.9350	37.4764	5.90	
314.1079	49.1958	5.90	
315.9483	53.2861	5.90	
342.0454	37.4167	5.90	
342.7592	85.3736	5.90	
357.4208	36.4253	5.90	
106.8429	34.0094	5.91	
129.8233	52.7117	5.91	
197.5133	38.4989	5.91	
205.6637	78.0644	5.91	
244.7967	49.0381	5.91	
282.4413	32.8128	5.91	Nu1 Lyr
290.0671	57.6453	5.91	
298.0300	47.9319	5.91	
304.0025	45.5794	5.91	
307.3629	56.0681	5.91	
316.3721	78.1264	5.91	
343.7608	37.0769	5.91	
15.9042	61.0750	5.92	
24.1133	48.7228	5.92	
37.6350	25.2350	5.92	
65.0600	41.8081	5.92	
100.1342	71.7489	5.92	
109.3904	52.1308	5.92	
114.1958	55.7553	5.92	
114.4746	48.7736	5.92	
116.6671	65.4558	5.92	
236.6450	55.4747	5.92	
250.4029	26.9169	5.92	
296.0771	69.3369	5.92	
299.8354	45.7722	5.92	
303.0029	26.4789	5.92	
342.5908	41.9536	5.92	
8.2933	54.8950	5.93	
50.4692	49.0708	5.93	
105.8767	29.3372	5.93	
122.5158	58.2481	5.93	
137.2129	33.8822	5.93	
149.3067	57.4183	5.93	
163.3779	69.8539	5.93	
225.3629	60.2044	5.93	
240.5229	52.9158	5.93	
304.3804	66.8539	5.93	
305.6887	41.0261	5.93	
329.7225	62.6983	5.93	
340.0767	53.8461	5.93	
7.5829	59.9772	5.94	
27.1621	37.9528	5.94	
68.3779	72.5286	5.94	
69.1008	64.2617	5.94	
81.1604	31.1431	5.94	
81.7037	34.3917	5.94	
86.6267	56.1156	5.94	
95.5150	59.3722	5.94	
99.4225	61.4811	5.94	
129.5792	32.8019	5.94	
144.8663	67.2722	5.94	
172.6296	43.1733	5.94	
206.5792	38.5039	5.94	
248.1071	60.8233	5.94	
259.5971	38.8114	5.94	
261.6925	34.6958	5.94	
295.6858	32.4267	5.94	
321.4458	36.6675	5.94	
340.4004	41.5494	5.94	
347.6133	43.5442	5.94	
41.2071	67.8247	5.95	
47.9283	81.4706	5.95	
75.0763	39.3947	5.95	
133.1492	28.3308	5.95	Rho1 Cnc
136.3504	48.5303	5.95	
137.6612	30.9631	5.95	
191.2479	39.2789	5.95	
206.6804	25.7022	5.95	
272.6317	54.2867	5.95	
273.8208	68.7558	5.95	
296.9525	25.3839	5.95	
310.0129	43.4586	5.95	
318.9258	77.0122	5.95	
326.2221	62.4606	5.95	
341.0217	39.4656	5.95	
354.7933	75.2928	5.95	
356.6529	66.7822	5.95	
1.5667	58.4367	5.96	
21.5775	43.4578	5.96	
49.4408	39.2833	5.96	
52.8367	27.5719	5.96	
76.1658	74.0669	5.96	
79.0758	34.3119	5.96	
84.8267	29.2153	5.96	
90.4296	48.9594	5.96	
138.9692	72.9461	5.96	
155.2642	68.7475	5.96	
179.8233	33.1675	5.96	
207.4396	61.4892	5.96	
293.4233	49.2625	5.96	
295.4538	50.5253	5.96	
299.6196	63.5342	5.96	
307.3646	81.0914	5.96	
314.1446	44.9250	5.96	
14.6296	66.3522	5.97	
71.6850	40.3128	5.97	
73.1963	27.8975	5.97	
97.0608	70.5356	5.97	
138.8096	34.6336	5.97	
139.3800	46.8172	5.97	
233.8179	53.9219	5.97	
315.3038	36.0261	5.97	
321.2071	80.5247	5.97	
357.4142	28.8425	5.97	
359.2650	42.6583	5.97	
14.5592	33.9508	5.98	
15.7263	41.3450	5.98	
34.5187	57.5167	5.98	
53.4125	54.9747	5.98	
88.1671	33.9175	5.98	
90.2925	31.0347	5.98	
125.1679	72.4072	5.98	
137.1971	26.6292	5.98	
205.5962	82.7525	5.98	
205.6808	34.9889	5.98	
230.6554	62.0472	5.98	
243.6396	73.3950	5.98	
250.7750	77.5142	5.98	
287.9417	31.2833	5.98	
319.3096	55.7981	5.98	
336.9425	31.8403	5.98	
351.9183	25.1672	5.98	
354.8379	74.0028	5.98	
16.0100	52.5022	5.99	
25.4133	30.0472	5.99	
70.4596	38.2803	5.99	
133.0417	42.0025	5.99	
133.0483	45.3125	5.99	
228.5254	31.7881	5.99	
250.9654	34.0389	5.99	
265.3408	51.8181	5.99	
270.1517	33.2139	5.99	
274.9671	29.6661	5.99	
281.0758	61.0481	5.99	
30.7196	64.9014	6.00	
82.7025	41.4619	6.00	
104.7617	38.0522	6.00	
154.8617	48.3969	6.00	
155.1300	54.2169	6.00	
161.2667	67.4114	6.00	
164.8867	36.0931	6.00	
166.1300	38.2414	6.00	
182.7500	81.7100	6.00	
195.4450	63.6103	6.00	
234.8425	36.6367	6.00	Zet1 CrB
253.3233	47.4169	6.00	
269.6762	36.2878	6.00	
279.9700	52.1961	6.00	
289.2142	46.9992	6.00	
358.8900	47.3558	6.00	
358.8904	57.4122	6.00	
